split_name,date_field,months,query_count,doc_count,ndcg_cut_10,ndcg_cut_1000,map,recall_100,recall_1000
march_only,updatedDate,3,86,48183,0.23071816857714525,0.23251430742990786,0.19501199704688071,0.3275193798449612,0.3275193798449612
march_april,updatedDate,"3,4",95,100241,0.2677870273994537,0.2839839252264896,0.22703752886260622,0.4160401002506265,0.4160401002506265
march_april_may,updatedDate,"3,4,5",100,200527,0.30518524552783227,0.34708503531654356,0.26340424349913216,0.5508690476190476,0.5508690476190476
