query_id,map,recall_100,recall_1000,ndcg_cut_10,ndcg_cut_1000
d40a44b633a216fc65484a60dadd48ac,0.08551972259790269,0.42857142857142855,0.9523809523809523,0.04691422406821018,0.3897238583235509
1200cc678dce697633576f9941994baa,0.04975351085698399,0.3076923076923077,0.6153846153846154,0.13886244387355454,0.28517752629133347
e54f68f74633d43b86d0247af6197544,0.17963073773703253,0.6666666666666666,1.0,0.28371255449703187,0.5750551246033959
e874f77079e2943bfe8c7ab5985bba33,0.015446161837767121,0.25,0.75,0.0,0.19533440021248993
910db656ed939dbb0b017843db25e2b5,0.011200548337084974,0.09090909090909091,0.6363636363636364,0.0,0.15168653816894082
328e016c9773ff748f749f1fdd081b8d,0.3487857066508844,0.8333333333333334,1.0,0.5033242827953464,0.7128812571032052
ef401e491a89991d822ec491f94e3639,0.3841210197146837,0.8,1.0,0.3984171406361635,0.6126578719103813
58693f8e42bc57d9db6db40b90b142de,0.28152963694438343,1.0,1.0,0.247223244103901,0.48986784901827846
0b155c7fdc95ddd69962e106dfaed576,0.23614830012679475,1.0,1.0,0.22396407309901178,0.5140943470584162
721f5289656546b698a36571b2d86c4b,0.7003036531312957,0.9705882352941176,0.9705882352941176,0.6738045031882062,0.8104445592771479
cc613b02ecdaf8f4e2e025008eb8680c,0.01423534662377253,0.2,0.8,0.0,0.20032142044915885
40a8df88721f3a9f1363c47c7d996d5e,0.0241912127447363,0.16666666666666666,1.0,0.0,0.23543102580677686
dfe9c87036812c15b429bfaa041ee6c2,0.5833333333333333,1.0,1.0,0.66967181649423,0.66967181649423
286b151fe9f88f9457878c2655e4f2da,0.39812390604099523,0.875,0.9375,0.44249863598290373,0.6843727896986903
27d5a858b54377ad38312dc515812683,0.038461538461538464,1.0,1.0,0.0,0.2103099178571525
c62b2b80a8db46cbcb0866776a155ae9,0.20961964016259105,0.25,0.5,0.504697266301415,0.5476028018281233
d469026fee5ebf4230d3ec5f9501e621,0.4416042780748663,1.0,1.0,0.4064632133218697,0.6126583073892217
504ba8f0091eef715f16ccbb63ed5ac9,0.730428863172226,0.7777777777777778,0.8888888888888888,0.7767471075223497,0.8685135386911439
2eff8040c4e28557c51361ab9b8db57d,0.20920935994783976,0.3230769230769231,0.8307692307692308,0.4067844389293517,0.6076703834734821
30c3ebbc6708a3454d82f9a8c11796fa,0.014855083941685934,0.3333333333333333,0.6666666666666666,0.0,0.14077838659435093
2fae882aa26665d7522162f134babcdf,0.8041666666666667,1.0,1.0,0.7747592084729606,0.7747592084729606
a64207e4bf8ec20e09918f9831197c50,0.29273504273504275,0.8,0.8,0.4202245701037763,0.5639311838918265
1f50741d080a161ff0cde0b31cfd685e,0.16453464005659346,0.42857142857142855,0.7142857142857143,0.27487633291429087,0.4463682376592191
82cd19fadb27746d99d5e6d818097910,0.3666666666666667,1.0,1.0,0.5271341073823443,0.5271341073823443
25affb391b5a4052cc6750a79fd6162f,0.125,1.0,1.0,0.31546487678572877,0.31546487678572877
dc1849c0ec8ffd02455d02e00a690950,0.18204365079365079,1.0,1.0,0.22023506584738775,0.34686828905811484
c613c39de9464d090499baed3e86eec5,0.1875,1.0,1.0,0.2640681225725909,0.4140749156809287
343570543e89b17f992e31c939eb8baf,0.272493632632593,0.75,1.0,0.2807721888661444,0.45192143023363573
45d19e089d62f6d06d3fbb1676ae4b85,0.5348995789785262,1.0,1.0,0.6402716197357251,0.8157986300866061
