split_name,date_field,months,query_count,doc_count,ndcg_cut_10,ndcg_cut_1000,map,recall_100,recall_1000
march_only,updatedDate,3,86,48183,0.2087656137713402,0.23485226759339806,0.19728549827688904,0.36434108527131787,0.36434108527131787
march_april,updatedDate,"3,4",95,100241,0.27756751702396926,0.3113953422525433,0.24554239288052462,0.45827067669172933,0.49335839598997494
march_april_may,updatedDate,"3,4,5",100,200527,0.29381232309107047,0.3577535225133471,0.26266194747737004,0.5178571428571429,0.6266825396825396
