query_id,map,recall_100,recall_1000,ndcg_cut_10,ndcg_cut_1000
d40a44b633a216fc65484a60dadd48ac,0.004629629629629629,0.0,1.0,0.0,0.1288402240804449
1200cc678dce697633576f9941994baa,0.0,0.0,0.0,0.0,0.0
e54f68f74633d43b86d0247af6197544,0.27485380116959063,1.0,1.0,0.2960819109658652,0.5314798008992924
e874f77079e2943bfe8c7ab5985bba33,0.00510204081632653,0.5,0.5,0.0,0.09248969815687715
910db656ed939dbb0b017843db25e2b5,0.0,0.0,0.0,0.0,0.0
328e016c9773ff748f749f1fdd081b8d,0.41666666666666663,1.0,1.0,0.6052602440527057,0.6052602440527057
ef401e491a89991d822ec491f94e3639,0.835,1.0,1.0,0.9500218290988244,0.9500218290988244
58693f8e42bc57d9db6db40b90b142de,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.5209090851403014,0.5209090851403014
0b155c7fdc95ddd69962e106dfaed576,0.0,0.0,0.0,0.0,0.0
721f5289656546b698a36571b2d86c4b,0.615909090909091,1.0,1.0,0.7746469457232199,0.8340909098770195
cc613b02ecdaf8f4e2e025008eb8680c,0.009900990099009901,0.0,1.0,0.0,0.14987054163194743
40a8df88721f3a9f1363c47c7d996d5e,0.0,0.0,0.0,0.0,0.0
286b151fe9f88f9457878c2655e4f2da,0.02702702702702703,1.0,1.0,0.0,0.1905514124267734
27d5a858b54377ad38312dc515812683,0.0,0.0,0.0,0.0,0.0
c62b2b80a8db46cbcb0866776a155ae9,0.0,0.0,0.0,0.0,0.0
d469026fee5ebf4230d3ec5f9501e621,0.007518796992481203,0.0,1.0,0.0,0.14152099882215266
504ba8f0091eef715f16ccbb63ed5ac9,0.0,0.0,0.0,0.0,0.0
2eff8040c4e28557c51361ab9b8db57d,0.000572737686139748,0.0,0.1111111111111111,0.0,0.030897245120230978
30c3ebbc6708a3454d82f9a8c11796fa,0.5,0.5,0.5,0.6131471927654584,0.6131471927654584
2fae882aa26665d7522162f134babcdf,1.0,1.0,1.0,1.0,1.0
a64207e4bf8ec20e09918f9831197c50,0.0,0.0,0.0,0.0,0.0
1f50741d080a161ff0cde0b31cfd685e,0.3333333333333333,1.0,1.0,0.5,0.5
82cd19fadb27746d99d5e6d818097910,0.0,0.0,0.0,0.0,0.0
25affb391b5a4052cc6750a79fd6162f,0.0,0.0,0.0,0.0,0.0
dc1849c0ec8ffd02455d02e00a690950,1.0,1.0,1.0,1.0,1.0
c613c39de9464d090499baed3e86eec5,0.0,0.0,0.0,0.0,0.0
343570543e89b17f992e31c939eb8baf,0.06671940928270043,0.5,1.0,0.11990623328406573,0.2161956672169078
45d19e089d62f6d06d3fbb1676ae4b85,0.07118518518518517,0.2,0.6,0.21836974929469322,0.30235231937824525
1f4a02148d3138e7a04d14cca49f0f4e,0.6916666666666667,1.0,1.0,0.8505562583331812,0.8505562583331812
7fc59cf2e1511d45688b1b9e6c90b1f5,0.24444444444444446,0.6666666666666666,0.6666666666666666,0.41618115554873086,0.41618115554873086
eb0c676dd89c26b532399101064cf7d2,0.0,0.0,0.0,0.0,0.0
f86f41648ba908f4c469ef17802f0511,0.325,1.0,1.0,0.5012658353418871,0.5012658353418871
161820e44e7022cf44fd99a59bce5792,0.026297985875232917,0.25,1.0,0.0,0.23589561699297276
ebf4a2df691a9df61502f18150f2a9ee,0.0,0.0,0.0,0.0,0.0
3a180af85b747f6a7c2f74ec1a6e8b24,0.26803619174942706,0.875,1.0,0.3152023825640326,0.5691933703482754
7583b65656affbcc148b545b75dfc968,0.0,0.0,0.0,0.0,0.0
a40f25e65758d13cbdc2f0053175e050,0.0,0.0,0.0,0.0,0.0
cf5992cd1306b7aa71afb466b25f8195,0.5833333333333334,1.0,1.0,0.6131471927654584,0.778842958530688
23b98abd4686855f0ed05c6d1a01e2b9,1.0,1.0,1.0,1.0,1.0
1a2f5d355af40cba5cc9ad1ffddd114e,0.19350425704873142,0.8333333333333334,1.0,0.33681547903608383,0.4753665545147897
e7abd0f60b9f4306e06dcd05a3cf8a34,0.0,0.0,0.0,0.0,0.0
32dcf5f64658b023229d877bf4a86084,0.0,0.0,0.0,0.0,0.0
f9ae0f99d7403b40d78e3d3d103d6a1c,0.3333333333333333,1.0,1.0,0.5,0.5
9c6556134c7d06548f65d0e363b69f44,0.07142857142857142,1.0,1.0,0.0,0.2559580248098155
35e64efe49a5eb9b5f9ee7e7464352fc,0.2,1.0,1.0,0.38685280723454163,0.38685280723454163
123cf37ccef0961a82918ad95c391866,1.0,1.0,1.0,0.8597186998521972,0.8597186998521972
a3d4d31b531c0372a9ea7fa1ae0e7015,0.75,1.0,1.0,0.8772153153380493,0.8772153153380493
4eb1811f5597cbb51193ff49c7d79af9,0.0,0.0,0.0,0.0,0.0
0e8e69ebcd11bc70aeb0102176cbf69b,0.014285714285714285,0.5,0.5,0.0,0.11859885638464811
2d885b04956ddd2e729af5d7e6f50384,0.6428571428571428,1.0,1.0,0.8175295903539445,0.8175295903539445
1c6ca51a558f678acf1b1d1a8b145f54,0.5,1.0,1.0,0.6309297535714575,0.6309297535714575
5980d90c7c34207a2ea5476d8be72f7d,0.0,0.0,0.0,0.0,0.0
838027a4fcf857b3d4ddfeebf94faad6,0.0,0.0,0.0,0.0,0.0
