split_name,date_field,months,query_count,doc_count,ndcg_cut_10,ndcg_cut_1000,map,recall_100,recall_1000
march_only,createdDate,3,78,49631,0.0014669182685436407,0.05955274581580092,0.010099114937026223,0.2905982905982906,0.2905982905982906
march_april,createdDate,"3,4",93,134355,0.005861211971174963,0.08619391298133945,0.010882796528292092,0.10483870967741937,0.4642771804062126
march_april_may,createdDate,"3,4,5",97,232307,0.0070522174724799895,0.09869557707692957,0.009911416961814294,0.07158811978399608,0.5552282768777613
