split_name,date_field,months,query_count,doc_count,ndcg_cut_10,ndcg_cut_1000,map,recall_100,recall_1000
march_only,publishedDate,3,74,173031,0.17283341179810002,0.20131219944622195,0.14603347124033597,0.3558558558558559,0.3558558558558559
march_april,publishedDate,"3,4",92,343421,0.21715758815210803,0.26391746545816874,0.18392720811894017,0.4730072463768117,0.5164855072463769
march_april_may,publishedDate,"3,4,5",96,525293,0.26553397023409503,0.3258480775623514,0.22244904455986317,0.5237012987012988,0.5909015752765753
