query_id,map,recall_100,recall_1000,ndcg_cut_10,ndcg_cut_1000
d40a44b633a216fc65484a60dadd48ac,0.0,0.0,0.0,0.0,0.0
1200cc678dce697633576f9941994baa,0.0,0.0,0.0,0.0,0.0
e54f68f74633d43b86d0247af6197544,0.02564102564102564,1.0,1.0,0.0,0.18790182470910757
e874f77079e2943bfe8c7ab5985bba33,0.0,0.0,0.0,0.0,0.0
328e016c9773ff748f749f1fdd081b8d,0.0,0.0,0.0,0.0,0.0
ef401e491a89991d822ec491f94e3639,0.036309523809523805,1.0,1.0,0.0,0.22744158267721315
0b155c7fdc95ddd69962e106dfaed576,0.0,0.0,0.0,0.0,0.0
721f5289656546b698a36571b2d86c4b,0.017241379310344827,0.5,0.5,0.0,0.1549224541733634
cc613b02ecdaf8f4e2e025008eb8680c,0.0,0.0,0.0,0.0,0.0
40a8df88721f3a9f1363c47c7d996d5e,0.022222222222222223,1.0,1.0,0.0,0.1810425967800402
dfe9c87036812c15b429bfaa041ee6c2,0.0,0.0,0.0,0.0,0.0
286b151fe9f88f9457878c2655e4f2da,0.030303030303030304,1.0,1.0,0.0,0.1965616322328226
27d5a858b54377ad38312dc515812683,0.0,0.0,0.0,0.0,0.0
d469026fee5ebf4230d3ec5f9501e621,0.0,0.0,0.0,0.0,0.0
2eff8040c4e28557c51361ab9b8db57d,0.0,0.0,0.0,0.0,0.0
30c3ebbc6708a3454d82f9a8c11796fa,0.0,0.0,0.0,0.0,0.0
2fae882aa26665d7522162f134babcdf,0.0,0.0,0.0,0.0,0.0
a64207e4bf8ec20e09918f9831197c50,0.0196078431372549,1.0,1.0,0.0,0.17542506358195453
1f50741d080a161ff0cde0b31cfd685e,0.0,0.0,0.0,0.0,0.0
25affb391b5a4052cc6750a79fd6162f,0.0,0.0,0.0,0.0,0.0
dc1849c0ec8ffd02455d02e00a690950,0.013888888888888888,1.0,1.0,0.0,0.16155546744299637
343570543e89b17f992e31c939eb8baf,0.0,0.0,0.0,0.0,0.0
45d19e089d62f6d06d3fbb1676ae4b85,0.0,0.0,0.0,0.0,0.0
1f4a02148d3138e7a04d14cca49f0f4e,0.022727272727272728,1.0,1.0,0.0,0.18208790046993825
7fc59cf2e1511d45688b1b9e6c90b1f5,0.011111111111111112,0.5,0.5,0.0,0.11100575998665047
eb0c676dd89c26b532399101064cf7d2,0.02631578947368421,1.0,1.0,0.0,0.18920035951687003
f86f41648ba908f4c469ef17802f0511,0.04372294372294372,1.0,1.0,0.0,0.23912006939359975
161820e44e7022cf44fd99a59bce5792,0.0,0.0,0.0,0.0,0.0
ebf4a2df691a9df61502f18150f2a9ee,0.0,0.0,0.0,0.0,0.0
3a180af85b747f6a7c2f74ec1a6e8b24,0.10985155195681512,1.0,1.0,0.18154179253735267,0.35850782513131824
7583b65656affbcc148b545b75dfc968,0.0,0.0,0.0,0.0,0.0
a40f25e65758d13cbdc2f0053175e050,0.02702702702702703,1.0,1.0,0.0,0.1905514124267734
cf5992cd1306b7aa71afb466b25f8195,0.025,1.0,1.0,0.0,0.18665241123894338
23b98abd4686855f0ed05c6d1a01e2b9,0.0,0.0,0.0,0.0,0.0
1a2f5d355af40cba5cc9ad1ffddd114e,0.055069355069355064,1.0,1.0,0.0,0.24572986308308623
e7abd0f60b9f4306e06dcd05a3cf8a34,0.0,0.0,0.0,0.0,0.0
32dcf5f64658b023229d877bf4a86084,0.027777777777777776,1.0,1.0,0.0,0.2143904081116033
f9ae0f99d7403b40d78e3d3d103d6a1c,0.0,0.0,0.0,0.0,0.0
9c6556134c7d06548f65d0e363b69f44,0.01639344262295082,1.0,1.0,0.0,0.16794877895704194
35e64efe49a5eb9b5f9ee7e7464352fc,0.0,0.0,0.0,0.0,0.0
123cf37ccef0961a82918ad95c391866,0.0,0.0,0.0,0.0,0.0
4eb1811f5597cbb51193ff49c7d79af9,0.0,0.0,0.0,0.0,0.0
0e8e69ebcd11bc70aeb0102176cbf69b,0.0196078431372549,1.0,1.0,0.0,0.17542506358195453
2d885b04956ddd2e729af5d7e6f50384,0.0,0.0,0.0,0.0,0.0
