split_name,date_field,months,query_count,doc_count,ndcg_cut_10,ndcg_cut_1000,map,recall_100,recall_1000
march_only,createdDate,3,78,49631,0.2316227680558047,0.2529271187963896,0.2112635130423414,0.38461538461538464,0.38461538461538464
march_april,createdDate,"3,4",93,134355,0.27102491680177787,0.3096126765312026,0.22330949488277918,0.5152329749103942,0.5515232974910395
march_april_may,createdDate,"3,4,5",97,232307,0.2885376068781852,0.35931441413776494,0.23534280335517835,0.6124447717231222,0.6652348224513173
