split_name,date_field,months,query_count,doc_count,ndcg_cut_10,ndcg_cut_1000,map,recall_100,recall_1000
march_only,publishedDate,3,74,173031,0.17674723977154674,0.2024413589936183,0.1518321493189322,0.34909909909909914,0.3558558558558559
march_april,publishedDate,"3,4",92,343421,0.20466950866292538,0.25573643699860077,0.1786421976597476,0.4693840579710145,0.5164855072463769
march_april_may,publishedDate,"3,4,5",96,525293,0.23770419065617412,0.30772294806255385,0.2047822409643754,0.5432201479076479,0.5909015752765753
