split_name,date_field,months,query_count,doc_count,ndcg_cut_10,ndcg_cut_1000,map,recall_100,recall_1000
march_only,updatedDate,3,86,48183,0.010258723755672019,0.0753571372960013,0.014879011611916019,0.3507751937984496,0.3507751937984496
march_april,updatedDate,"3,4",95,100241,0.014906625112438607,0.10749015026850355,0.01981585540655205,0.31977443609022554,0.5077443609022556
march_april_may,updatedDate,"3,4,5",100,200527,0.013160332401963116,0.12526046313332734,0.016193708340046284,0.10892857142857144,0.6348373015873015
