split_name,date_field,months,query_count,doc_count,ndcg_cut_10,ndcg_cut_1000,map,recall_100,recall_1000
march_only,updatedDate,3,86,48183,0.1911527468859224,0.21611510541857717,0.17140575905638372,0.3507751937984496,0.3507751937984496
march_april,updatedDate,"3,4",95,100241,0.24289447865246455,0.2892003507583839,0.214048152903439,0.4953383458646616,0.5077443609022556
march_april_may,updatedDate,"3,4,5",100,200527,0.2533983055683347,0.331151890130951,0.2278380911370715,0.5921706349206349,0.6348373015873015
