split_name,date_field,months,query_count,doc_count,ndcg_cut_10,ndcg_cut_1000,map,recall_100,recall_1000
march_only,publishedDate,3,74,173031,0.15802872790715564,0.18992637682406427,0.13150922689727254,0.3603603603603604,0.3738738738738739
march_april,publishedDate,"3,4",92,343421,0.18830568671996187,0.24218600706946436,0.1569878141697377,0.5056159420289855,0.529891304347826
march_april_may,publishedDate,"3,4,5",96,525293,0.22725092097324906,0.3066240369537261,0.1943531530514284,0.5553195646945649,0.604183201058201
