query_id,map,recall_100,recall_1000,ndcg_cut_10,ndcg_cut_1000
072f1af47be326cbe50092e56576c209,0.0,0.0,0.0,0.0,0.0
0b155c7fdc95ddd69962e106dfaed576,0.015735815602836878,0.5,1.0,0.0,0.1902837947104728
0e8e69ebcd11bc70aeb0102176cbf69b,0.06279816571752593,0.6666666666666666,0.8333333333333334,0.0,0.30034470751079534
10fdb11b13fff4b822ddc239ad6f3969,0.07142857142857142,0.2222222222222222,0.2222222222222222,0.1482972305701491,0.20845902513861864
1200cc678dce697633576f9941994baa,0.03537500074476865,0.8,1.0,0.0,0.27602763334727914
123cf37ccef0961a82918ad95c391866,0.8928571428571428,1.0,1.0,0.7854872704743482,0.7854872704743482
14d317d015117766bee743c1503b9307,0.0,0.0,0.0,0.0,0.0
161820e44e7022cf44fd99a59bce5792,0.01895187870797627,0.5,0.5,0.0,0.16025468131370027
19a43a2b512e5ddd5e1b336c958b892e,1.0,1.0,1.0,1.0,1.0
1a2f5d355af40cba5cc9ad1ffddd114e,0.140190003801257,0.7,0.7,0.0,0.33984447904312487
1c6ca51a558f678acf1b1d1a8b145f54,0.5416666666666666,1.0,1.0,0.7601875334318685,0.8420362710290533
1f4a02148d3138e7a04d14cca49f0f4e,0.23566335625159157,1.0,1.0,0.14025592292804667,0.4540993264486878
1f50741d080a161ff0cde0b31cfd685e,1.0,1.0,1.0,1.0,1.0
21e8c323e168b0813eff14fdac972f1f,0.0,0.0,0.0,0.0,0.0
23b98abd4686855f0ed05c6d1a01e2b9,1.0,1.0,1.0,1.0,1.0
25affb391b5a4052cc6750a79fd6162f,0.5,1.0,1.0,0.6309297535714575,0.6309297535714575
27d5a858b54377ad38312dc515812683,0.07142857142857142,1.0,1.0,0.0,0.2559580248098155
286b151fe9f88f9457878c2655e4f2da,0.3333333333333333,1.0,1.0,0.5,0.5
2d885b04956ddd2e729af5d7e6f50384,0.0,0.0,0.0,0.0,0.0
2eff8040c4e28557c51361ab9b8db57d,0.0034847272242230225,0.07142857142857142,0.14285714285714285,0.0,0.07584714264608382
2fae882aa26665d7522162f134babcdf,0.0,0.0,0.0,0.0,0.0
30c3ebbc6708a3454d82f9a8c11796fa,0.015384615384615385,1.0,1.0,0.0,0.16544255391905832
3126294258753cc2e2eb7b7053bf2131,0.07919254658385093,1.0,1.0,0.0,0.2630882135265186
328e016c9773ff748f749f1fdd081b8d,0.0,0.0,0.0,0.0,0.0
32dcf5f64658b023229d877bf4a86084,0.12155388471177946,1.0,1.0,0.15642624200758548,0.365329601482761
3364789dac36e8123f8dd056561eaf33,1.0,1.0,1.0,1.0,1.0
343570543e89b17f992e31c939eb8baf,0.060379918588873815,1.0,1.0,0.0,0.2717560303517763
34761729cc3fd73195d5840b733ca362,0.0504814119131025,0.75,1.0,0.0,0.29327903118114945
35bb643809f197b68021794ad8ad1319,1.0,1.0,1.0,1.0,1.0
35e64efe49a5eb9b5f9ee7e7464352fc,0.0,0.0,0.0,0.0,0.0
38323ace1b617b418f533f54c09c7228,0.0,0.0,0.0,0.0,0.0
38a5737828cd22eb5c45c3fbe66340d5,0.181547619047619,0.75,0.75,0.26974836613912556,0.32323480506997493
3a180af85b747f6a7c2f74ec1a6e8b24,0.3998850822380234,1.0,1.0,0.5087403079104241,0.7058136061502467
