split_name,date_field,months,query_count,doc_count,ndcg_cut_10,ndcg_cut_1000,map,recall_100,recall_1000
march_only,updatedDate,3,86,48183,0.27279616915778965,0.28805145996496423,0.24262186731409127,0.43023255813953487,0.43023255813953487
march_april,updatedDate,"3,4",95,100241,0.3245658732109398,0.36194768119372134,0.28387404136853767,0.5603258145363409,0.5670927318295739
march_april_may,updatedDate,"3,4,5",100,200527,0.3368438508734293,0.4134952682687688,0.28738686984705186,0.6944404761904761,0.7164365079365079
